#      x          Cp  
     1.00000    0.84913
     0.97553    0.58609
     0.94709    0.42474
     0.91839    0.27762
     0.88947    0.14389
     0.86036    0.01571
     0.83116   -0.10955
     0.80199   -0.23380
     0.77296   -0.35829
     0.74422   -0.48389
     0.71590   -0.61121
     0.68814   -0.74064
     0.66105   -0.87241
     0.63474   -1.00655
     0.60929   -1.14300
     0.58477   -1.28154
     0.56121   -1.42189
     0.53863   -1.56369
     0.51703   -1.70654
     0.49641   -1.85003
     0.47674   -1.99375
     0.45800   -2.13739
     0.44014   -2.28081
     0.42315   -2.42412
     0.40697   -2.56961
     0.39157   -2.72462
     0.37687   -2.86142
     0.36278   -2.98926
     0.34922   -3.10896
     0.33615   -3.22094
     0.32353   -3.32502
     0.31131   -3.42090
     0.29947   -3.50821
     0.28798   -3.58653
     0.27683   -3.65544
     0.26598   -3.71452
     0.25541   -3.76341
     0.24513   -3.80174
     0.23510   -3.82924
     0.22533   -3.84566
     0.21579   -3.85085
     0.20648   -3.84471
     0.19738   -3.82723
     0.18850   -3.79848
     0.17982   -3.75860
     0.17134   -3.70784
     0.16306   -3.64649
     0.15497   -3.57494
     0.14706   -3.49365
     0.13934   -3.40313
     0.13180   -3.30395
     0.12444   -3.19672
     0.11727   -3.08210
     0.11027   -2.96077
     0.10346   -2.83343
     0.09683   -2.70079
     0.09039   -2.56355
     0.08413   -2.42242
     0.07806   -2.27811
     0.07219   -2.13127
     0.06650   -1.98257
     0.06102   -1.83265
     0.05574   -1.68209
     0.05067   -1.53148
     0.04581   -1.38136
     0.04117   -1.23224
     0.03675   -1.08463
     0.03255   -0.93897
     0.02859   -0.79572
     0.02486   -0.65529
     0.02137   -0.51809
     0.01813   -0.38450
     0.01514   -0.25491
     0.01240   -0.12969
     0.00993   -0.00919
     0.00772    0.10622
     0.00577    0.21620
     0.00411    0.32039
     0.00271    0.41844
     0.00161    0.51002
     0.00078    0.59478
     0.00025    0.67237
     0.00001    0.74256
     0.00007    0.80424
     0.00042    0.85630
     0.00104    0.89975
     0.00192    0.93503
     0.00306    0.96247
     0.00443    0.98231
     0.00604    0.99471
     0.00788    0.99984
     0.00994    0.99782
     0.01221    0.98883
     0.01469    0.97300
     0.01737    0.95052
     0.02026    0.92161
     0.02334    0.88648
     0.02661    0.84541
     0.03008    0.79869
     0.03374    0.74667
     0.03759    0.68972
     0.04163    0.62824
     0.04585    0.56268
     0.05026    0.49352
     0.05485    0.42125
     0.05964    0.34642
     0.06461    0.26958
     0.06977    0.19131
     0.07512    0.11217
     0.08067    0.03277
     0.08642   -0.04632
     0.09236   -0.12451
     0.09851   -0.20124
     0.10487   -0.27598
     0.11145   -0.34819
     0.11825   -0.41741
     0.12528   -0.48318
     0.13254   -0.54510
     0.14006   -0.60282
     0.14783   -0.65602
     0.15588   -0.70443
     0.16422   -0.74783
     0.17285   -0.78606
     0.18181   -0.81899
     0.19111   -0.84653
     0.20078   -0.86866
     0.21083   -0.88536
     0.22131   -0.89667
     0.23223   -0.90265
     0.24365   -0.90342
     0.25560   -0.89908
     0.26813   -0.88979
     0.28128   -0.87575
     0.29512   -0.85715
     0.30971   -0.83426
     0.32512   -0.80740
     0.34140   -0.77695
     0.35863   -0.74353
     0.37684   -0.70774
     0.39605   -0.67373
     0.41622   -0.64034
     0.43740   -0.59594
     0.45974   -0.54725
     0.48334   -0.49485
     0.50834   -0.43947
     0.53483   -0.38156
     0.56288   -0.32153
     0.59254   -0.25974
     0.62379   -0.19645
     0.65654   -0.13187
     0.69062   -0.06605
     0.72578    0.00113
     0.76170    0.07009
     0.79800    0.14159
     0.83430    0.21685
     0.87022    0.29784
     0.90543    0.38736
     0.93965    0.49314
     0.97262    0.61715
     1.00000    0.84913
