#      x          Cp  
     1.00000    0.87898
     0.97553    0.64110
     0.94709    0.48073
     0.91839    0.32554
     0.88947    0.17668
     0.86036    0.02742
     0.83116   -0.12452
     0.80199   -0.28094
     0.77296   -0.44314
     0.74422   -0.61210
     0.71590   -0.78861
     0.68814   -0.97320
     0.66105   -1.16626
     0.63474   -1.36798
     0.60929   -1.57836
     0.58477   -1.79726
     0.56121   -2.02441
     0.53863   -2.25942
     0.51703   -2.50183
     0.49641   -2.75111
     0.47674   -3.00675
     0.45800   -3.26830
     0.44014   -3.53555
     0.42315   -3.80866
     0.40697   -4.09090
     0.39157   -4.39319
     0.37687   -4.67558
     0.36278   -4.95100
     0.34922   -5.22041
     0.33615   -5.48429
     0.32353   -5.74215
     0.31131   -5.99334
     0.29947   -6.23704
     0.28798   -6.47233
     0.27683   -6.69825
     0.26598   -6.91380
     0.25541   -7.11798
     0.24513   -7.30981
     0.23510   -7.48835
     0.22533   -7.65271
     0.21579   -7.80208
     0.20648   -7.93574
     0.19738   -8.05305
     0.18850   -8.15349
     0.17982   -8.23666
     0.17134   -8.30228
     0.16306   -8.35021
     0.15497   -8.38043
     0.14706   -8.39303
     0.13934   -8.38825
     0.13180   -8.36643
     0.12444   -8.32800
     0.11727   -8.27352
     0.11027   -8.20359
     0.10346   -8.11890
     0.09683   -8.02021
     0.09039   -7.90828
     0.08413   -7.78393
     0.07806   -7.64799
     0.07219   -7.50127
     0.06650   -7.34459
     0.06102   -7.17874
     0.05574   -7.00450
     0.05067   -6.82260
     0.04581   -6.63374
     0.04117   -6.43858
     0.03675   -6.23773
     0.03255   -6.03177
     0.02859   -5.82125
     0.02486   -5.60666
     0.02137   -5.38849
     0.01813   -5.16719
     0.01514   -4.94321
     0.01240   -4.71700
     0.00993   -4.48902
     0.00772   -4.25975
     0.00577   -4.02972
     0.00411   -3.79950
     0.00271   -3.56976
     0.00161   -3.34129
     0.00078   -3.11501
     0.00025   -2.89229
     0.00001   -2.67463
     0.00007   -2.47036
     0.00042   -2.28108
     0.00104   -2.10032
     0.00192   -1.92617
     0.00306   -1.75729
     0.00443   -1.59290
     0.00604   -1.43256
     0.00788   -1.27604
     0.00994   -1.12324
     0.01221   -0.97421
     0.01469   -0.82903
     0.01737   -0.68790
     0.02026   -0.55100
     0.02334   -0.41859
     0.02661   -0.29091
     0.03008   -0.16822
     0.03374   -0.05080
     0.03759    0.06111
     0.04163    0.16725
     0.04585    0.26741
     0.05026    0.36138
     0.05485    0.44898
     0.05964    0.53009
     0.06461    0.60458
     0.06977    0.67239
     0.07512    0.73350
     0.08067    0.78792
     0.08642    0.83572
     0.09236    0.87698
     0.09851    0.91187
     0.10487    0.94056
     0.11145    0.96327
     0.11825    0.98027
     0.12528    0.99183
     0.13254    0.99829
     0.14006    0.99996
     0.14783    0.99721
     0.15588    0.99041
     0.16422    0.97994
     0.17285    0.96617
     0.18181    0.94949
     0.19111    0.93027
     0.20078    0.90888
     0.21083    0.88569
     0.22131    0.86103
     0.23223    0.83525
     0.24365    0.80864
     0.25560    0.78152
     0.26813    0.75416
     0.28128    0.72681
     0.29512    0.69973
     0.30971    0.67311
     0.32512    0.64717
     0.34140    0.62206
     0.35863    0.59788
     0.37684    0.57474
     0.39605    0.55176
     0.41622    0.52932
     0.43740    0.51096
     0.45974    0.49513
     0.48334    0.48184
     0.50834    0.47105
     0.53483    0.46279
     0.56288    0.45710
     0.59254    0.45404
     0.62379    0.45370
     0.65654    0.45622
     0.69062    0.46180
     0.72578    0.47073
     0.76170    0.48348
     0.79800    0.50071
     0.83430    0.52339
     0.87022    0.55308
     0.90543    0.59204
     0.93965    0.64616
     0.97262    0.71883
     1.00000    0.87898
